Original u	Witness	Lower u	Upper u
0.7504010422	0.5702372206 - 0.0499986996*E1 + 1.1281895937*E1^2 - 0.3457054881*E1^3 + 0.2237353242*E2 + 0.1547619734*E1*E2 + 0.3722627288*E2^2 - 0.9697091947*E3 - 2.1681734086*E1*E3 + 0.0611242796*E2*E3 + 0.0983164347*E3^2 + Piecewise[{{2.1638135879 + 17.1454395013*E1, E1 >= -0.1262034483}}, -1.3298008662 - 10.5369614218*E1]	0.750400951	0.7504011415
0.7504012222	0.4186285148 - 1.3637074424*E1 + 0.2738648306*E1^2 - 0.0617826145*E1^3 - 0.1573400138*E2 - 2.8647917057*E1*E2 + 0.3722699803*E2^2 - 0.5638673382*E3 + 1.0476745869*E1*E3 + 0.0611256305*E2*E3 + 0.0983172158*E3^2 + Piecewise[{{1.0050841564 + 7.9639650655*E1, E1 >= -0.1262039886}}, -0.6139888691 - 4.865051223*E1]	0.7504010422	0.7504014759
0.7504014351	0.2935153843 - 2.1514534461*E1 + 1.8441962248*E1^2 - 0.4069594067*E1^3 + 0.1866733345*E2 - 0.1389796295*E1*E2 + 0.3722785557*E2^2 - 0.7615888652*E3 - 0.5189128855*E1*E3 + 0.0611272281*E2*E3 + 0.0983181395*E3^2 + Piecewise[{{1.2557680443 + 9.9502535607*E1, E1 >= -0.1262046275}}, -0.5739486336 - 4.547762193*E1]	0.7504012222	0.7504016101
0.750401563	1.3854491376 - 10.1583176176*E1 - 0.2283576495*E1^2 - 1.4624017149*E1^3 - 0.7667859864*E2 - 13.3252756375*E1*E2 + 1.6679070967*E2^2 - 2.3088603961*E3 + 6.4168574946*E1*E3 + 0.2738667756*E2*E3 + 0.4404878427*E3^2 + Piecewise[{{-4.6536760131 - 36.873939904*E1, E1 < -0.1262050116}}, 6.7812924183 + 53.7323544656*E1]	0.7504014351	0.750401718
0.7504017199	0.505534318 - 0.6435926195*E1 + 0.5108561461*E1^2 - 0.1733039318*E1^3 - 0.0072578522*E2 - 1.6756630098*E1*E2 + 0.3722900319*E2^2 - 0.7052876395*E3 - 0.0726786754*E1*E3 + 0.0611293662*E2*E3 + 0.0983193756*E3^2 + Piecewise[{{-0.7059970349 - 5.594028253*E1, E1 < -0.1262054825}}, 1.288832097 + 10.2121720175*E1]	0.750401563	0.7504019401
0.7504018687	0.4356722162 - 1.0917618359*E1 + 2.858566124*E1^2 - 0.4768385913*E1^3 + 0.378886174*E2 + 1.3168114779*E1*E2 + 0.3877425241*E2^2 - 0.9103591586*E3 - 1.4686617108*E1*E3 + 0.0636667761*E2*E3 + 0.1023993022*E3^2 + Piecewise[{{0., Inequality[-0.126205929, LessEqual, E1, LessEqual, -0.126205929]}, {-1.1308695236 - 8.9605102777*E1, E1 < -0.126205929}, {1.7673636666 + 14.003808546*E1, Inequality[-0.126205929, LessEqual, E1, Less, -0.1262059289]}}, 1.7674205471 + 14.004259242*E1]	0.7504017199	0.7504019905
0.7504019725	1.1226313292 - 0.3545063272*E1 + 3.6910568718*E1^2 - 0.8628324805*E1^3 + 0.463856468*E2 + 0.3373705895*E1*E2 + 0.7679821955*E2^2 - 1.927779065*E3 - 3.8968100803*E1*E3 + 0.126101785*E2*E3 + 0.2028158197*E3^2 + Piecewise[{{4.4708697144 + 35.4251081077*E1, E1 >= -0.1262062405}}, -2.8394739393 - 22.4986809494*E1]	0.7504018687	0.7504020821
0.7504020818	0.2182114836 + 0.1165189311*E1 + 0.5212080733*E1^2 - 0.163165225*E1^3 + 0.0828354864*E2 + 0.0796609768*E1*E2 + 0.1326796266*E2^2 - 0.3262549306*E3 - 0.6193865316*E1*E3 + 0.0217858754*E2*E3 + 0.0350390136*E3^2 + Piecewise[{{0.715749237 + 5.6712518497*E1, E1 >= -0.1262065689}}, -0.5078265379 - 4.0237726336*E1]	0.7504019725	0.7504021958
0.7504022603	0.5823808057 - 2.4937031983*E1 - 0.7157859196*E1^2 - 0.4984151078*E1^3 - 0.1197516818*E2 - 3.3593452073*E1*E2 + 0.5545887588*E2^2 - 1.0449988542*E3 - 0.063662616*E1*E3 + 0.0910632123*E2*E3 + 0.1464582114*E3^2 + Piecewise[{{-0.7735962936 - 6.1295780143*E1, E1 < -0.1262071046}, {1.9534031369 + 15.4777589038*E1, E1 >= -0.1262071046}}, 0.7254146824 + 5.7478117793*E1]	0.7504020818	0.750402528
0.7504023581	0.4824136303 - 0.5142644509*E1 + 2.9670924008*E1^2 - 0.346924279*E1^3 + 0.5441187307*E2 + 2.6930551881*E1*E2 + 0.3723157463*E2^2 - 0.9495933154*E3 - 2.0081494362*E1*E3 + 0.0611341568*E2*E3 + 0.0983221453*E3^2 + Piecewise[{{-1.5049603072 - 11.9245014889*E1, E1 < -0.1262073982}, {2.5007733202 + 19.814791817*E1, E1 >= -0.1262073982}}, 0.402222479 + 3.1869960465*E1]	0.7504022603	0.7504024585
0.7504024269	1.3990522446 - 31.8581780477*E1 - 16.7245365352*E1^2 - 3.875433313*E1^3 - 5.475022726*E2 - 57.4117430154*E1*E2 + 3.2280782028*E2^2 - 2.7268075434*E3 + 26.2186166834*E1*E3 + 0.5300502026*E2*E3 + 0.8524758305*E3^2 + Piecewise[{{-21.7431591429 - 172.2808955148*E1, E1 <= -0.1262076046}}, 25.2231252638 + 199.8542428711*E1]	0.7504023581	0.7504025067
0.7504025119	0.1834252728 + 0.386864116*E1 + 0.271009079*E1^2 - 0.1016275726*E1^3 + 0.0399933153*E2 - 0.061315167*E1*E2 + 0.087013711*E2^2 - 0.2274323623*E3 - 0.5129337534*E1*E3 + 0.0142876626*E2*E3 + 0.0229785887*E3^2 + Piecewise[{{0., E1 == -0.1262078598}, {-0.5600875037 - 4.4378179343*E1, E1 < -0.1262078598}}, 0.5858427056 + 4.6418876492*E1]	0.7504024269	0.750402592
0.7504027299	0.1016784274 - 0.222577338*E1 + 0.1447017486*E1^2 - 0.0193049835*E1^3 - 0.0084241916*E2 - 0.4258981993*E1*E2 + 0.0826311579*E2^2 - 0.1276507786*E3 + 0.2127425162*E1*E3 + 0.0135680899*E2*E3 + 0.021820939*E3^2 + Piecewise[{{0.2217362029 + 1.7569036824*E1, E1 >= -0.1262085139}, {-0.1510082143 - 1.1964978401*E1, E1 < -0.1262085139}}, -0.0493394831 - 0.3909362492*E1]	0.7504025119	0.7504030154
0.750402826	2.2031551749 + 0.8243247411*E1 + 8.6691322835*E1^2 - 2.0877378954*E1^3 + 1.5073861816*E2 + 5.8503295685*E1*E2 + 1.4019042071*E2^2 - 3.7700661169*E3 - 9.1027311175*E1*E3 + 0.2301939054*E2*E3 + 0.3702075405*E3^2 + Piecewise[{{-5.7364455831 - 45.4520245359*E1, E1 < -0.1262088024}}, 9.7132128432 + 76.9614532336*E1]	0.7504027299	0.7504029354
0.7504031054	6.4229022479 - 7.9386082464*E1 + 18.14038265*E1^2 - 1.9020836385*E1^3 + 2.5590145724*E2 - 0.7045063407*E1*E2 + 4.8270791023*E2^2 - 9.9783850416*E3 - 7.5508621644*E1*E3 + 0.7926138663*E2*E3 + 1.2746870056*E3^2 + Piecewise[{{-8.8030574021 - 69.7494843632*E1, E1 < -0.1262096413}}, 13.0254559993 + 103.2049205231*E1]	0.750402826	0.7504033443
0.7504033512	0.1367926541 - 0.2759870716*E1 + 0.5462442382*E1^2 - 0.1117131525*E1^3 + 0.0767718586*E2 + 0.1174541176*E1*E2 + 0.1129285567*E2^2 - 0.2373842752*E3 - 0.2078952534*E1*E3 + 0.0185431103*E2*E3 + 0.0298205797*E3^2 + Piecewise[{{0.3655398845 + 2.8962743611*E1, E1 >= -0.1262103789}}, -0.2917477805 - 2.3115989597*E1]	0.7504031054	0.750403528
0.7504034866	0.5009681904 - 0.0987948628*E1 + 1.0983562841*E1^2 - 0.2949466855*E1^3 + 0.1813217093*E2 - 0.0083074201*E1*E2 + 0.3324530586*E2^2 - 0.7808892089*E3 - 1.2621328531*E1*E3 + 0.0545896103*E2*E3 + 0.0877887503*E3^2 + Piecewise[{{0., E1 == -0.1262107854}, {1.724848316 + 13.6664098073*E1, E1 >= -0.1262107854}, {-1.1174332865 - 8.8537067773*E1, E1 < -0.1262107854}}, 0.1690640538 + 1.3395372924*E1]	0.7504033512	0.7504036361
0.7504036488	2.1769095551 - 7.3011952395*E1 - 1.5522867036*E1^2 - 1.9953959795*E1^3 - 1.1642756249*E2 - 17.5915905688*E1*E2 + 1.9250061832*E2^2 - 3.507827273*E3 + 0.7240206493*E1*E3 + 0.3160914991*E2*E3 + 0.5083187716*E3^2 + Piecewise[{{-4.4792589172 - 35.4901652864*E1, E1 < -0.1262112724}}, 8.1143222075 + 64.2915807401*E1]	0.7504034866	0.7504038752
0.7504037273	0.5542083086 + 0.9979959361*E1 + 2.3131016363*E1^2 - 0.2660978811*E1^3 + 0.5021089703*E2 + 2.7124825841*E1*E2 + 0.2912395043*E2^2 - 0.8949590511*E3 - 2.7765010189*E1*E3 + 0.0478224109*E2*E3 + 0.0769045646*E3^2 + Piecewise[{{0., Inequality[-0.126211508, LessEqual, E1, LessEqual, -0.126211508]}, {2.6571577884 + 21.0532132194*E1, E1 > -0.126211508}, {-1.886295265 - 14.9455092887*E1, E1 < -0.126211508}}, -1.4219694587 - 11.2665594556*E1]	0.7504036488	0.7504038087
0.7504038096	0.7174135632 - 6.1457504263*E1 - 6.1484603356*E1^2 - 0.1750109497*E1^3 - 1.5119373779*E2 - 15.7730539063*E1*E2 + 0.8728430108*E2^2 - 0.7788038926*E3 + 6.759696653*E1*E3 + 0.1433236444*E2*E3 + 0.2304812944*E3^2 + Piecewise[{{-5.9560423734 - 47.190868877*E1, E1 < -0.1262117548}}, 6.3410024495 + 50.2409815756*E1]	0.7504037273	0.7504039072
